zi,chaizi
丁,⿱一亅
丂,⿱一㇉
七,⿻乚一
丄,⿱丨一
丅,⿱一丨
丆,⿱一丿
万,⿱一勹
丈,⿻𠂇乀
三,⿱一二
上,⿱⺊一
下,⿱一卜
丌,⿹丅丿
不,⿸丆卜
与,⿹⿺㇉一一
丏,⿱一⿰⿺𠃊丨𠃌
丐,⿱一⿺㇉⺊
丑,⿴ユ十
丒,⿱刃一
专,⿱⿻𠃑二丶
且,⿱⺝一
丕,⿱不一
世,⿻⿺𠃊凵一
丗,⿻山一
丘,⿱斤一
丙,⿱一内
业,⿱⿲丶丨リ一
丛,⿱从一
东,亅⿱⿻𠃋一八
丝,⿱⿰⿸𠃋𠃋⿸𠃋𠃋一
丞,⿱氶一
丟,⿱王厶
丠,⿱北一
両,⿵帀凵
丢,⿱𡈼厶
丣,⿱一⿲匚丿⿰丨コ
两,⿱一⿻从冂
严,⿳一⿲丶丨リ厂
並,⿱丷亚
丧,⿱⿻土丷𰀠
丩,⿰𠄌丨
个,⿱人丨
丫,⿱丷丨
丬,⿰冫丨
中,⿻丨口
丮,⿹⺄𰀁
丯,⿻丨彡
丰,⿻𰀁一
丱,⿲𠂈丨𠃎
串,⿻中口
丳,⿻⿰丿丨吕
临,⿰〢⿳𠂉丶𫩏
丵,⿱业𢆉
丷,⿰丶丿
丸,⿻丿⿹㇈丶
丹,⿴⿻⺆一丶
为,⿵⿶力丶丶
主,⿱亠土
丼,⿴井丶
丽,⿱一⿰⿵冂丶⿵冂丶
举,⿱兴𰀁
乂,⿻丿乀
乃,⿹𠄎丿
乄,⿻㇢丶
久,⿰𠂊乀
乆,⿰𠃋人
乇,⿱丿七
么,⿱丿厶
义,⿶乂丶
乊,⿱丿丷
之,⿱丶㇇乀
乌,⿱丿⿹𠃌㇉
乍,⿱𠂉⿰丨二
乎,⿱丿⿻亅䒑
乏,⿱丿之
乐,亅⿱匚八
乑,⿱丿⿰𰀪𰀠
乒,⿱斤丆
乓,⿱丘丶
乔,⿱丿夰
乕,⿸𠂆⿻𰀁冂
乖,⿻千北
乗,⿻乖人
乘,⿻乖人
乜,⿻乚𠃌
九,⿻丿㇈
乞,⿱𠂉乙
也,⿻⿺乚丨𠃌
习,⿹𠃌冫
乡,⿸𠃋𠂈
乢,⿰山乚
乣,⿰幺乚
乤,⿱下乙
乥,⿱乊乙
书,⿺⿻丨⿱𠃍𠃌丶
乧,⿱斗乙
乨,⿰台乚
乩,⿰占乚
乪,⿺乙田
乫,⿱加乙
乬,⿱巨乙
乭,⿱石乙
乮,⿱卯乙
乯,⿱乎乙
买,⿱乛头
乱,⿰舌乚
乲,⿱次乙
乳,⿰孚乚
乴,⿱折乙
乵,⿰辛乚
乶,⿱甫乙
乷,⿱沙乙
乸,⿺也母
乹,⿰𠦝乚
乺,⿱所乙
乻,⿱於乙
乼,⿱注乙
乽,⿱者乙
乾,⿰𠦝乞
乿,⿰⿱爫糸乚
亀,⿻龟日
亁,⿰⿱十旱乞
亂,⿰𤔔乚
亃,⿰粦乚
亄,⿰壹乚
了,乛亅
亇,⿱⺈亅
予,⿱龴𠄐
争,⿻亇⺕
亊,⿻𬺰⿱丷⺕
事,⿻𬺰⿱口⺕
二,⿱一一
亍,⿱一丁
于,⿱一𬺰
亏,⿱二㇉
亐,⿱一𠀁
云,⿱二厶
互,⿱一彑
亓,⿱一丌
五,⿱一𫝀
井,⿻廾一
亖,⿱二二
亗,⿱山二
亘,⿱一旦
亙,⿷工⿹𠃍⺀
亚,⿱一业
些,⿱此二
亜,⿱𬻇一
亝,⿱厽二
亞,⿳一⿰
亟,⿻𬼶叹
亠,⿱丶一
亡,⿱丶匸
亢,⿱亠几
亣,⿱丶丌
交,⿱亠父
亥,⿱丶𠀔
亦,⿱亠⿰丿小
产,⿳亠丷厂
亨,⿳亠口了
亩,⿱亠田
亪,⿱亦乁
享,⿱亠𠯂
京,⿱亠𱒃
亭,⿳亠口⿱冖丁
亮,⿳亠口冗
亯,⿱亠𠯭
亰,⿱亠𣌢
亱,⿱亠但
亲,⿱立木
亳,⿳亠口⿱冖乇
亴,⿳亠口⿳冖土九
亵,⿳亠执𧘇
亶,⿱㐭旦
亷,⿸产⿻〢⿱⺕八
亸,⿰享单
亹,⿱亠舋
人,丿乀
亻,⿱丿丨
亼,⿱人一
亽,⿱人丶
亾,⿺𠃊人
亿,⿰亻乙
什,⿰亻十
仁,⿰亻二
仂,⿰亻力
仃,⿰亻丁
仄,⿸厂人
仅,⿰亻又
仆,⿰亻卜
仇,⿰亻九
仈,⿰亻八
仉,⿰亻几
今,⿱人𪜊
介,⿱人⿰丿丨
仌,⿱人人
仍,⿰亻乃
从,⿰人人
仏,⿰亻厶
仐,⿱人十
仑,⿱人匕
仒,⿱人⺀
仓,⿱人㔾
仔,⿰亻子
仕,⿰亻士
他,⿰亻也
仗,⿰亻丈
付,⿰亻寸
仙,⿰亻山
仚,⿱人山
仛,⿰亻乇
仜,⿰亻工
仝,⿱人工
仞,⿰亻刃
仟,⿰亻千
仠,⿰亻干
仡,⿰亻乞
仢,⿰亻勺
代,⿰亻弋
令,⿱亽龴
以,⿰⿺𠄌丶人
仦,⿰亻小
仧,⿱上人
仨,⿰亻三
仩,⿰亻上
仪,⿰亻义
仫,⿰亻么
们,⿰亻门
仭,⿰亻刃
仮,⿰亻反
仯,⿰亻少
仰,⿰亻卬
仱,⿰亻今
仲,⿰亻中
仳,⿰亻比
仴,⿰亻月
仵,⿰亻午
件,⿰亻牛
