zi,data
丁,⿱一亅
丂,⿱一㇉
七,⿻乚一
七,⿻㇄一
七,⿻𠄌一
丄,⿱丨一
丅,⿱一丨
丆,⿱一丿
万,⿱一勹
丈,⿻𠂇乀
丈,⿻𠂇丶
三,⿱一二
三,⿱二一
上,⿱⺊一
上,⿺丄一
下,⿱一卜
下,⿸丅丶
丌,⿹丅丿
不,⿸丆卜
与,⿹⿺㇉一一
与,⿺㇉一一
与,⿹⿺㇉一丨
与,⿺𠚣一
与,⿹⿺𠃑一丨
丏,⿱一⿰⿺𠃊丨𠃌
丐,⿱一⿺㇉⺊
丑,⿴ユ十
丑,⿻⿴ユ丨一
丑,⿻⿴コ丨一
丒,⿱刃一
专,⿱⿻𠃑二丶
且,⿱⺝一
且,⿴𠀃二
丕,⿱不一
世,⿻⿺𠃊凵一
丗,⿻山一
丗,⿱卅一
丘,⿱斤一
丙,⿱一内
丙,⿻𠆣冂
业,⿱⿲丶丨リ一
业,⿱丱一
丛,⿱从一
东,亅⿱⿻𠃋一八
丝,⿱⿰⿸𠃋𠃋⿸𠃋𠃋一
丞,⿱氶一
丟,⿱王厶
丟,⿱干𠫔
丟,⿱一去
丠,⿱北一
両,⿵帀凵
丢,⿱𡈼厶
丢,⿱千𠫔
丢,⿱丿去
丣,⿱一⿲匚丿⿰丨コ
丣,⿱一⿲匚〢コ
两,⿱一⿻从冂
严,⿳一⿲丶丨リ厂
並,⿱丷亚
並,⿱䒑业
丧,⿱⿻土丷𰀠
丩,⿰𠄌丨
丩,⿰𠃊丨
丩,⿻丿𠄌
丩,⿻丨𠄌
丩,⿻丨𠃊
丩,⿶十丨
个,⿱人丨
丫,⿱丷丨
丬,⿰冫丨
丬,⿰冫丿
中,⿻丨口
丮,⿹⺄𰀁
丮,⿹㇈𰀁
丯,⿻丨彡
丰,⿻𰀁一
丰,⿻𠀆一
丰,⿻十二
丰,⿻丨三
丰,⿻𠂇二
丰,⿻丿三
丱,⿲𠂈丨𠃎
丱,⿲丩丨𠃎
丱,⿲𠄌〢𠃎
丱,⿲𠃊〢𠃎
串,⿻中口
串,⿻丨吕
丳,⿻⿰丿丨吕
临,⿰〢⿳𠂉丶𫩏
丵,⿱业𢆉
丵,⿱⿺丄〣𢆉
丷,⿰丶丿
丸,⿻丿⿹㇈丶
丸,⿵九丶
丸,⿻丿⿹㇊丶
丸,⿻丿⿹⺄丶
丹,⿴⿻⺆一丶
丹,⿴⿻冂一丶
丹,⿴⿻⺆一丨
丹,⿴⿻冂一丨
为,⿵⿶力丶丶
主,⿱亠土
主,⿱丶王
丼,⿴井丶
丽,⿱一⿰⿵冂丶⿵冂丶
丽,⿰⿵𰀃丶⿵𰀃丶
丽,⿰⿱一𠔼⿱一𠔼
丽,⿰⿵𰀃丨⿵𰀃丨
举,⿱兴𰀁
乂,⿻丿乀
乂,⿻丿丶
乃,⿹𠄎丿
乄,⿻㇢丶
久,⿰𠂊乀
久,⿰𠂊丶
乆,⿰𠃋人
乇,⿱丿七
么,⿱丿厶
义,⿶乂丶
乊,⿱丿丷
之,⿱丶
之,㇇乀
乌,⿱丿⿹
乌,𠃌㇉
乍,⿱𠂉⿰丨二
乎,⿱丿⿻亅䒑
乏,⿱丿之
乏,⿱𡿨
乏,㇇乀
乐,亅⿱匚八
乑,⿱丿⿰𰀪𰀠
乑,⿰𰀪𧘇
乑,⿰人𠆧
乒,⿱斤丆
乒,⿱丘丿
乓,⿱丘丶
乔,⿱丿夰
乕,⿸𠂆⿻𰀁冂
乖,⿻千北
乖,⿻千龷
乗,⿻乖人
乘,⿻乖人
乜,⿻乚𠃌
乜,⿻乚𠃍
九,⿻丿㇈
九,⿻丿㇊
九,⿻丿⺄
乞,⿱𠂉乙
也,⿻⿺乚丨𠃌
也,⿻⿺乚丨𠃍
习,⿹𠃌冫
习,⿹𠃍冫
乡,⿸𠃋𠂈
乡,⿸𡿨𠂈
乢,⿰山乚
乣,⿰幺乚
乤,⿱下乙
乥,⿱乊乙
书,⿺⿻丨⿱𠃍𠃌丶
乧,⿱斗乙
乨,⿰台乚
乩,⿰占乚
乪,⿺乙田
乫,⿱加乙
乬,⿱巨乙
乭,⿱石乙
乮,⿱卯乙
乯,⿱乎乙
买,⿱乛头
乱,⿰舌乚
乲,⿱次乙
乳,⿰孚乚
乴,⿱折乙
乵,⿰辛乚
乶,⿱甫乙
乷,⿱沙乙
乸,⿺也母
乹,⿰𠦝乚
乺,⿱所乙
乻,⿱於乙
乼,⿱注乙
乽,⿱者乙
乾,⿰𠦝乞
乾,⿸倝乙
乿,⿰⿱爫糸乚
亀,⿻龟日
亁,⿰⿱十旱乞
亂,⿰𤔔乚
亃,⿰粦乚
亄,⿰壹乚
了,乛亅
了,乛丨
亇,⿱⺈亅
亇,⿱𠂉亅
予,⿱龴𠄐
争,⿻亇⺕
亊,⿻𬺰⿱丷⺕
事,⿻𬺰⿱口⺕
二,⿱一一
亍,⿱一丁
亍,⿱二亅
于,⿱一𬺰
于,⿻丁一
亏,⿱二㇉
亏,⿱一丂
亐,⿱一𠀁
亐,⿻丂一
云,⿱二厶
云,⿱一𠫔
互,⿱一彑
亓,⿱一丌
亓,⿹𬼽丿
五,⿱一𫝀
五,⿻工𠃍
井,⿻廾一
亖,⿱二二
亖,⿱一三
亖,⿱三一
亗,⿱山二
亘,⿱一旦
亘,⿱𣄼一
亙,⿷工⿹𠃍⺀
亙,⿳一⿵⿰丿𠃍⺀一
亚,⿱一业
些,⿱此二
亜,⿱𬻇一
