zi,freq
一,1
丁,4
七,3
丈,4
三,2
上,1
下,1
丌,4
不,1
丐,5
丑,5
专,2
且,2
丕,5
世,2
丘,5
丙,4
业,2
丛,5
东,2
丝,4
丞,5
丟,4
丢,4
两,2
严,3
並,2
丧,5
个,1
丫,5
中,1
丰,5
串,4
临,4
丸,4
丹,4
为,1
主,2
丽,3
举,3
乃,4
久,2
么,4
义,2
之,1
乌,4
乍,5
乎,2
乏,4
乐,2
乔,4
乖,4
乘,4
乙,4
九,3
乞,5
也,1
习,3
乡,4
书,2
乩,5
买,2
乱,3
乳,5
乾,4
亂,3
了,1
予,4
争,3
事,2
二,2
于,4
亏,4
云,4
互,4
五,2
井,4
亙,5
亚,3
些,2
亞,3
亟,5
亡,4
亢,5
交,1
亥,5
亦,3
亨,4
享,3
京,4
亭,5
亮,3
亲,3
亵,5
人,1
亿,4
什,2
仁,3
仄,5
仅,4
仆,5
仇,4
今,2
介,3
仍,3
从,2
仑,5
仓,5
仔,3
仕,5
他,1
仗,5
付,3
仙,4
仝,5
仟,5
代,2
令,3
以,1
仪,4
们,1
仰,4
仲,4
件,2
任,2
份,2
仿,5
企,4
伊,4
伍,4
伏,5
伐,5
休,4
众,3
伙,4
会,1
伞,5
伟,3
传,2
伤,3
伦,4
伪,5
伫,5
伯,4
估,4
伴,4
伶,5
伸,4
伺,5
似,2
伽,5
但,1
佇,5
佈,4
位,2
低,3
住,2
佐,5
佑,5
体,5
佔,4
何,1
余,4
佛,3
作,2
你,1
佢,5
佩,4
佫,5
佬,5
佮,5
佯,5
佰,5
佳,3
併,5
佼,5
使,2
侃,5
來,1
侈,5
例,3
侍,5
侏,5
侖,5
供,3
依,3
侠,4
侥,5
侦,4
侧,4
侨,4
侪,5
侬,5
侮,5
侯,4
侵,4
侶,5
侷,5
便,2
係,3
促,4
俄,5
俊,3
俏,5
俐,5
俑,5
俗,4
俘,5
保,2
俞,5
俟,5
俠,4
信,1
俨,5
俩,5
俪,5
俭,5
修,2
俯,5
俱,4
俺,5
俾,5
倆,5
倉,5
個,1
倌,5
倍,4
們,1
倒,3
倖,5
倘,5
候,2
倚,4
借,4
倡,5
倦,5
倩,5
倪,5
倫,4
债,5
值,3
倾,4
假,3
偈,5
偉,3
偎,5
偏,4
偕,5
做,2
停,3
健,4
側,4
偵,4
偶,4
偷,4
偽,5
偿,5
傀,5
傅,5
傌,5
傍,5
傑,4
傘,5
備,2
傢,4
储,5
催,5
傭,5
傲,4
傳,2
債,5
傷,3
傻,4
傾,4
僅,4
像,2
僑,4
僕,5
僚,5
僥,5
僧,5
僱,5
僵,5
價,2
僻,5
儀,4
儂,5
億,4
儉,5
儒,4
儕,5
儘,4
償,5
儡,5
優,3
儲,5
儷,5
儸,5
儼,5
兀,5
允,4
元,2
兄,2
充,3
兆,5
兇,4
先,2
光,2
克,3
兌,5
免,3
兒,2
兔,4
兜,5
兢,5
入,2
內,2
全,2
兩,2
八,2
公,2
六,2
兮,4
兰,3
共,2
关,2
兴,2
兵,3
其,2
具,3
典,3
养,3
兼,4
兽,4
冀,5
冈,5
冉,5
冊,4
再,2
冒,4
冕,5
冗,5
写,2
军,2
农,4
冠,4
冤,5
冥,5
冬,4
冯,5
冰,4
冲,4
冶,5
冷,3
冻,5
准,4
凋,5
凌,4
凍,5
凜,5
凝,4
几,5
凡,4
凤,2
凭,4
凯,4
凰,2
凱,4
凳,5
凶,5
凸,5
凹,5
出,1
击,3
函,4
凿,5
刀,3
刁,5
刃,5
分,2
切,3
刊,4
刑,5
划,5
列,3
刘,3
则,2
刚,3
创,3
初,3
判,3
別,2
利,2
刪,4
刮,5
到,1
制,2
刷,4
券,5
刺,4
刻,3
剂,5
剃,5
則,2
削,5
剋,5
前,1
剎,5
剑,3
剔,5
剖,5
剛,3
剝,5
剧,3
剩,4
剪,4
副,4
割,4
創,3
剿,5
劃,3
劇,3
劈,5
劉,3
劍,3
劑,5
力,2
劝,4
办,2
功,2
加,2
务,2
劣,5
动,2
助,3
努,3
劫,4
劭,5
励,4
劲,4
劳,4
势,3
勁,4
勃,5
勇,4
勉,4
勋,5
勒,4
動,2
勘,5
務,2
勛,5
勝,3
勞,4
募,5
勢,3
勤,4
勦,5
勳,5
勵,4
勸,4
勻,5
勾,5
勿,4
包,3
匆,5
匈,5
匕,5
化,2
北,2
匙,5
匠,5
匡,5
匣,5
匪,5
匯,5
匹,5
区,2
医,3
匿,5
區,2
十,2
千,3
卅,5
升,3
午,3
卉,5
半,3
华,2
协,3
