zi,t,number
㐅,Other,5
㒃,Other,2
㠪,Other,5
㭍,Other,7
一,Primary,1
七,Primary,7
万,Primary,10000
三,Primary,3
九,Primary,9
二,Primary,2
五,Primary,5
亖,Other,4
亿,Primary,100000000
什,Other,10
仟,Accounting,1000
仨,Other,3
伍,Accounting,5
佰,Accounting,100
億,Primary,100000000
兆,Primary,1000000000000
兩,Other,2
八,Primary,8
六,Primary,6
十,Primary,10
千,Primary,1000
卄,Other,20
卅,Other,30
卌,Other,40
叁,Accounting,3
参,Accounting,3
參,Accounting,3
叄,Other,3
四,Primary,4
壱,Accounting,1
壹,Accounting,1
幺,Other,1
廾,Other,9
廿,Other,20
弌,Accounting,1
弍,Accounting,2
弎,Accounting,3
弐,Accounting,2
拾,Accounting,10
捌,Accounting,8
柒,Accounting,7
漆,Accounting,7
玖,Accounting,9
百,Primary,100
肆,Accounting,4
萬,Accounting,10000
貮,Accounting,2
貳,Accounting,2
贰,Accounting,2
阡,Accounting,1000
陆,Accounting,6
陌,Accounting,100
陸,Accounting,6
零,Primary,0
𠀁,Other,7
𠁤,Other,4
𠃢,Other,4
𠄡,Other,5
𠤪,Other,1
𠦃,Other,30
𠦌,Other,40
𠦜,Other,40
𠫪,Other,6
𠫽,Other,3
𠬙,Other,3
𢎐,Other,2
𢦘,Other,3
𣬛,Other,3
𦉭,Other,4
