z1,r,z2
㐀,Semantic,丘
㐅,Semantic,五
㐊,Spoofing,㐋
㐋,Spoofing,㐊
㐫,Semantic,凶
㐮,Semantic,襄
㐯,Semantic,庸
㐱,Semantic,鬒
㐴,Semantic,攀
㐵,Semantic,儒
㐷,Traditional,傌
㐹,Traditional,㑶
㐽,Traditional,偑
㑁,Semantic,𠭴
㑄,Semantic,侮
㑇,Traditional,㑳
㑈,Traditional,倲
㑌,Semantic,尩
㑔,Traditional,㑯
㑝,Semantic,𢙱
㑩,Traditional,儸
㑮,Simplified,𫝈
㑯,Simplified,㑔
㑳,Simplified,㑇
㑶,Simplified,㐹
㑺,Traditional,儁
㒇,Semantic,儛
㒋,Semantic,廝
㒋,Semantic,厮
㒓,Simplified,𠉂
㒚,Semantic,穩
㒚,SpecializedSemantic,文
㒜,Simplified,𠇐
㒞,Semantic,儶
㒣,Simplified,𬾖
㒨,Spoofing,𠑗
㒰,Semantic,全
㒲,Semantic,財
㒷,Semantic,興
㒷,SpecializedSemantic,興
㒿,Simplified,𰖩
㓁,Semantic,网
㓄,Simplified,𪠟
㓓,Spoofing,湳
㓕,Spoofing,滅
㓖,Simplified,𰃻
㓖,Spoofing,滭
㓗,Spoofing,潔
㓟,SpecializedSemantic,披
㓥,Traditional,劏
㓨,Simplified,刾
㓮,Semantic,彫
㓮,Semantic,雕
㓷,Semantic,劓
㓸,Semantic,斲
㔃,Simplified,𫦌
㔅,Simplified,𫦅
㔉,Traditional,劚
㔋,Simplified,𪟎
㔍,Semantic,䥷
㔝,Simplified,𫦩
㔢,Simplified,𫦳
㔱,Semantic,斞
㔾,Semantic,卩
㔾,SpecializedSemantic,卩
㕑,Semantic,𢊍
㕑,Semantic,厨
㕒,Simplified,𰆕
㕚,Semantic,爪
㕚,Semantic,爫
㕞,Semantic,刷
㕢,Simplified,𰇀
㖈,Compat,䎛
㖊,Traditional,噚
㖞,Traditional,喎
㖦,Simplified,𰇎
㖮,Simplified,𪠵
㗖,Semantic,啖
㗖,Semantic,噉
㗖,Semantic,啗
㗙,Simplified,𫩩
㗢,Simplified,𰇖
㗣,Simplified,𫪺
㗰,Simplified,𫩛
㗲,Simplified,𠵾
㗳,Semantic,嗒
㗶,Simplified,𭇜
㗻,Simplified,𫪀
㗼,Simplified,𫩤
㗿,Simplified,𪡛
㘅,Semantic,銜
㘅,Semantic,啣
㘎,Traditional,㘚
㘓,Simplified,𪢌
㘔,Simplified,𫬐
㘖,Simplified,𰉁
㘙,Simplified,𫪂
㘚,Simplified,㘎
㘤,Simplified,𡈛
㘽,Semantic,栽
㘽,Compat,㦳
㙔,Simplified,𰉘
㙡,Simplified,𭎂
㙢,Simplified,𰊟
㙬,Simplified,𫮜
㙮,Semantic,塔
㙳,Semantic,轗
㙺,Simplified,𰊛
㙾,Simplified,𰉽
㚝,Semantic,奞
㚝,Semantic,奎
㚣,Semantic,姣
㚯,Traditional,㜄
㛀,Traditional,媰
㛛,Semantic,娠
㛛,SpecializedSemantic,娠
㛝,Simplified,𫝦
㛟,Traditional,𡞵
㛠,Traditional,𡢃
㛣,Traditional,㜏
㛤,Traditional,孋
㛿,Traditional,𡠹
㜄,Simplified,㚯
㜏,Simplified,㛣
㜐,Simplified,𫝧
㜗,Simplified,𡞋
